area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,7,7,4,2,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""6"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3]], ""family_mass"": [0.5, 0.5, 1.0, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,3.499826,0,0.7,0,A,6,combined,550,2,2,3,3.0,3,3,3,3.0,0,0,0.9498260756930403,7.3199999999999985,8.827143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2]], ""family_mass"": [0.5, 0.6, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,3.13122,0,0.7,0,B,6,own,550,2,2,2,2.0,2,2,2,2.0,0,0,0.9312203851016388,6.669999999999998,7.777143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3]], ""family_mass"": [0.5, 0.6, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,3.493335,0,0.7,0,B,6,combined,550,2,2,3,3.0,3,3,3,3.0,0,0,0.943334773587905,7.0699999999999985,8.577143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,0.6,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2]], ""family_mass"": [0.5, 0.6], ""family_runs"": [2, 2]}",1,1,1,1,1,0.513333,0.5654555217038133,,1,0,False,,score>=lock,lock,1.0,3.03122,0,0.7,0,C,6,own,550,2,2,2,2.0,2,2,2,2.0,0,0,0.9312203851016388,6.669999999999998,9.177143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3]], ""family_mass"": [0.5, 0.6, 1.0], ""family_runs"": [2, 2, 2]}",0,0,1,1,1,0.433333,0.5457053875844059,,1,0,False,,score>=lock,lock,1.0,3.493335,0,0.7,0,C,6,combined,550,2,2,3,3.0,3,3,3,3.0,0,0,0.943334773587905,7.0699999999999985,9.977143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 1, 3], [""7"", 1, 3]], ""family_mass"": [0.5, 0.6, 0.5, 1.0, 1.0], ""family_runs"": [2, 2, 1, 1, 1]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,3.13122,0,0.7,0,D,6,own,550,2,2,2,2.0,2,2,2,2.0,0,0,0.9312203851016388,6.669999999999998,7.777143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3]], ""family_mass"": [0.5, 0.6, 1.0, 1.0], ""family_runs"": [2, 2, 2, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,3.493335,0,0.7,0,D,6,combined,550,2,2,3,3.0,3,3,3,3.0,0,0,0.943334773587905,7.0699999999999985,8.577143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""7"", 1, 3]], ""family_mass"": [0.5, 0.6, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 1, 1]}",0,0,0,0,0,0.533333,0.5703632448561154,,0,0,False,,score>=lock,lock,1.0,3.13122,0,0.7,0,E,6,own,550,2,2,2,2.0,2,2,2,2.0,0,0,0.9312203851016388,6.669999999999998,7.777143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,6,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3], [""7"", 1, 3]], ""family_mass"": [0.5, 0.6, 0.75, 1.0, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 1, 1]}",0,0,0,0,0,0.433333,0.5457053875844059,,0,0,False,,score>=lock,lock,1.0,3.493335,0,0.7,0,E,6,combined,550,3,3,3,3.0,3,3,3,3.0,0,0,0.943334773587905,7.0699999999999985,8.577143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,0.6,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2]], ""family_mass"": [0.5, 0.6], ""family_runs"": [2, 2]}",1,1,1,1,1,0.513333,0.5654555217038133,,1,0,False,,score>=lock,lock,1.0,3.03122,0,0.7,0,T,6,own,550,2,2,2,2.0,2,2,2,2.0,0,0,0.9312203851016388,6.669999999999998,9.177143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,1.0,550677,1,1,1,1,0,1.0,1,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw5,5,6,7,4,1,1.0,2,1,1,1,1,1,1,055,05,"{""cluster_lengths"": [3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""6"", 1], [""7"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""0"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""0"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""0"", 1, 3]], ""family_mass"": [0.5, 0.6, 1.0], ""family_runs"": [2, 2, 2]}",0,0,1,1,1,0.433333,0.5457053875844059,,1,0,False,,score>=lock,lock,1.0,3.493335,0,0.7,0,T,6,combined,550,2,2,3,3.0,3,3,3,3.0,0,0,0.943334773587905,7.0699999999999985,9.977143,Midday,1,Set1,1,1,1,2,1.0,1,Connecticut4,Midday,1,1,0,none,1,0.0,1
LS1,1,0.5,559401338677,1,18,2,1,6,1.0,2,1,,0,1,0,0,1,5577,-1,0,-1,-1,0,0,Combined,0,0,1,2,Draw6,6,3,3,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3, 4]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""3"", 2, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""4"", 1, 2], [""0"", 1, 2], [""8"", 1, 2], [""6"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""4"", 1, 3], [""8"", 1, 3], [""7"", 2, 3], [""5"", 2, 4], [""4"", 1, 4], [""8"", 1, 4], [""7"", 2, 4], [""5"", 2, 5], [""7"", 2, 5]], ""family_mass"": [0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,1,0.605,0.5878295384825115,5577,0,1,True,,score>=lock,lock,1.0,2.906337,0,0.5,1,A,6,own,559,1,1,1,1.0,1,4,1,1.0,0,1,0.9813372922299883,9.33,10.937143,Midday,1,Set1,1,1,1,3,1.0,1,Connecticut4,Midday,2,2,1,none,15,0.0,15
LS1,1,1.0,559401338677,1,18,2,1,6,1.0,2,1,,0,1,0,0,1,,-1,0,-1,-1,0,0,Combined,0,0,1,-1,Draw6,6,3,3,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6, 7]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""3"", 2, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""4"", 1, 2], [""0"", 1, 2], [""8"", 1, 2], [""6"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""4"", 1, 3], [""0"", 1, 3], [""8"", 1, 3], [""5"", 2, 4], [""4"", 1, 4], [""8"", 1, 4], [""5"", 2, 5], [""4"", 1, 5], [""8"", 1, 5], [""5"", 2, 6], [""4"", 1, 6], [""8"", 1, 6], [""5"", 2, 7], [""4"", 1, 7], [""8"", 1, 7]], ""family_mass"": [0.25, 0.25, 0.4, 0.5, 0.5, 0.5, 0.5, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2, 2]}",0,0,0,0,0,0.53,0.569546223939229,,0,1,False,,score>=lock,lock,1.0,2.930774,0,0.5,1,A,6,combined,559,1,1,1,1.0,1,7,1,1.0,0,0,0.9807743917349983,9.27,11.177143,Midday,1,Set1,1,1,1,3,1.0,1,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,559401338677,1,18,2,1,6,1.0,2,1,,0,1,0,0,1,,-1,0,-1,-1,0,0,Combined,0,0,1,-1,Draw6,6,3,3,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""4"", 1], [""0"", 1], [""1"", 1], [""3"", 2], [""8"", 1], [""6"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""4"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""3"", 2, 1], [""8"", 1, 1], [""6"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""4"", 1, 2], [""0"", 1, 2], [""8"", 1, 2], [""6"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""4"", 1, 3], [""8"", 1, 3], [""5"", 2, 4], [""4"", 1, 4], [""8"", 1, 4]], ""family_mass"": [0.25, 0.25, 0.5, 0.5, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2]}",0,0,0,0,0,0.63,0.5938731029341427,,0,1,False,,score>=lock,lock,1.0,2.930774,0,0.5,1,B,6,own,559,1,1,1,1.0,1,4,1,1.0,0,0,0.9807743917349983,9.27,10.577143,Midday,1,Set1,1,1,1,3,1.0,1,Connecticut4,Midday,2,2,0,none,15,0.0,15
